user_id,IF_score,OCSVM_score,avg_anomaly_score,rf_attack_ratio,xgb_attack_ratio,rf_avg_confidence,xgb_avg_confidence,agreement_rate,fusion_risk_score,explanation
NKH0979,0.3871621140972517,-3.24050512905811,-1.4266715074804293,0.0,0.0,0.0,0.0,0.0,2.3584356019023587,"The user ID NKH0979 exhibits a low behavioral anomaly score of -1.43, indicating minimal deviation from typical behavior, which suggests a reduced behavioral risk according to CERT standards. Additionally, the RF and XGB attack ratios of 0.0 reflect no detected network threats based on UNSW metrics. Overall, the combination of these factors results in a low likelihood of insider threat, with a Fusion Risk Score of 2.358 further supporting this assessment."
AAF0535,0.3720649012042975,-3.217064356373544,-1.422499727584623,0.0,0.0,0.0,0.0,0.0,2.337292160815693,"The user with ID AAF0535 presents a low behavioral risk, as indicated by a negative Behavioral Anomaly Score, suggesting no significant deviations from typical behavior patterns. Additionally, the absence of RF and XGB Attack Ratios indicates minimal network risk, reflecting no detected malicious activity or anomalies in network interactions. Overall, the threat likelihood associated with this user is low, given the combined metrics indicating stable behavior and network integrity."
CNB0900,0.3805244112899263,-3.199870185003379,-1.4096728868567263,0.0,0.0,0.0,0.0,0.0,2.272283086024628,"The user with ID CNB0900 presents a low behavioral risk, as indicated by a negative Behavioral Anomaly Score of -1.41, suggesting no significant deviations from normal behavior patterns. Additionally, the absence of RF and XGB attack ratios, along with a Fusion Risk Score of 2.272, indicates minimal network risk based on UNSW metrics. Overall, the likelihood of an insider threat from this user is low, given the current risk indicators."
BMT0528,0.3878066059652597,-3.145421096476641,-1.3788072452556908,0.0,0.0,0.0,0.0,0.0,2.1158496472783326,"User ID BMT0528 exhibits a low overall threat likelihood, indicated by a Fusion Risk Score of 2.116 and a Behavioral Anomaly Score of -1.3788, suggesting minimal behavioral risk according to CERT metrics. Additionally, the RF and XGB Attack Ratios of 0.0 indicate no detected network risks based on UNSW criteria. Consequently, the overall assessment points to a low potential for insider threat activity."
TMA0069,0.3696257781140838,-3.0473724661854025,-1.3388733440356593,0.0,0.0,0.0,0.0,0.0,1.9134563981389776,"User ID TMA0069 presents a low overall threat likelihood, indicated by a Fusion Risk Score of 1.913 and a Behavioral Anomaly Score of -1.339, suggesting minimal behavioral risk as defined by CERT. Additionally, the absence of RF and XGB Attack Ratios, along with a 0.0 Agreement Rate, indicates no significant network risk based on UNSW criteria. Overall, the data suggests a low potential for insider threat activity from this user."
HFB0347,0.3840455199202071,-3.06163772385934,-1.3387961019695664,0.0,0.0,0.0,0.0,0.0,1.9130649194141565,"The user with ID HFB0347 exhibits a low behavioral anomaly score of -1.34, indicating minimal deviation from typical behavior patterns, which suggests a lower behavioral risk according to CERT standards. Additionally, the absence of any RF or XGB attack ratios implies that there are no detected network risks from the UNSW framework. Overall, given the low fusion risk score of 1.913 and the absence of significant anomalies, the likelihood of an insider threat from this user appears to be low."
SAP0867,0.3845519782864752,-3.0612731792125176,-1.3383606004630213,0.0,0.0,0.0,0.0,0.0,1.9108577079416509,"The user with ID SAP0867 presents a low behavioral risk, as indicated by a negative Behavioral Anomaly Score, suggesting minimal deviation from expected patterns of behavior. Additionally, the absence of detected network threats, evidenced by a RF Attack Ratio and XGB Attack Ratio of 0.0, indicates a stable network environment. Overall, the likelihood of an insider threat from this user appears to be low, given the current risk scores and lack of behavioral or network anomalies."
MOS0047,0.3693671280455963,-3.032574106145611,-1.3316034890500072,0.0,0.0,0.0,0.0,0.0,1.8766112734112192,"User ID MOS0047 presents a low behavioral risk, indicated by a negative Behavioral Anomaly Score, suggesting minimal deviation from typical user behavior. Network risk is also negligible, as evidenced by a RF Attack Ratio and XGB Attack Ratio of 0.0, indicating no detected malicious activity on the network. Overall, the threat likelihood for this user is low, with a Fusion Risk Score of 1.877, suggesting minimal potential for insider threat incidents."
EDB0714,0.3866183676244628,-3.037082128562071,-1.325231880468804,0.0,0.0,0.0,0.0,0.0,1.8443186467557733,"The user with ID EDB0714 exhibits a low behavioral risk, as indicated by a negative Behavioral Anomaly Score of -1.325, suggesting minimal deviation from expected activity patterns. Additionally, the absence of RF and XGB Attack Ratios, along with a Fusion Risk Score of 1.844, indicates a low likelihood of network-related threats. Overall, the combined metrics suggest a minimal threat likelihood concerning insider threats for this user."
AAF0791,0.3735053179777907,-3.0212984680906967,-1.323896575056453,0.0,0.0,0.0,0.0,0.0,1.837551043472789,"The user with ID AAF0791 exhibits a low behavioral risk, as indicated by a negative Behavioral Anomaly Score, suggesting minimal deviation from typical behavior patterns. Additionally, the absence of detected network threats, reflected by a 0.0 RF and XGB Attack Ratio, indicates a low likelihood of external exploitation. Overall, the threat likelihood from this user appears minimal, with a Fusion Risk Score of 1.838 suggesting limited insider threat potential at this time."
